album_id,artist_id,album_name,album_type,release_date,total_tracks,spotify_url
0S0KGZnfBGSIssfF54WSJh,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,14,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh
3ywiWlRdxCDyIt4xwP4yVW,6qqNVTkY8uBg9cP3Jd7DAH,INTRO (HIT ME HARD AND SOFT TOUR),single,2026-04-24,1,https://open.spotify.com/album/3ywiWlRdxCDyIt4xwP4yVW
3ThlxfLSy4bfKzxWqmC7VN,25uiPmTg16RbhZWAqwLBy5,Guess featuring billie eilish,single,2024-08-01,1,https://open.spotify.com/album/3ThlxfLSy4bfKzxWqmC7VN
2ajCD41iDxflpYBZmSO9S7,6eUKZXaKkcviH0Ku9w2n3V,Play (Deluxe),album,2025-11-28,27,https://open.spotify.com/album/2ajCD41iDxflpYBZmSO9S7
20dY0uZi9SzfrcWYfiWGqH,6eUKZXaKkcviH0Ku9w2n3V,Play,album,2025-09-12,13,https://open.spotify.com/album/20dY0uZi9SzfrcWYfiWGqH
64QhljQEwTfoEt9z6jsyxl,6eUKZXaKkcviH0Ku9w2n3V,Play (Extended Edition),album,2025-09-12,18,https://open.spotify.com/album/64QhljQEwTfoEt9z6jsyxl
5ZewPP4nTMtJTn4krePB2d,6eUKZXaKkcviH0Ku9w2n3V,+-=÷× (Tour Collection: Live),album,2024-12-27,50,https://open.spotify.com/album/5ZewPP4nTMtJTn4krePB2d
5xD1PSd5c5APDM0SdkkqnH,6eUKZXaKkcviH0Ku9w2n3V,+-=÷× (Tour Collection),album,2024-09-27,24,https://open.spotify.com/album/5xD1PSd5c5APDM0SdkkqnH
3OxfaVgvTxUTy7276t7SPU,1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,album,2025-01-31,22,https://open.spotify.com/album/3OxfaVgvTxUTy7276t7SPU
35dut3ICqF3NEDkjxfzJJ1,1Xyo4u8uXC1ZmMpatF05PJ,Starboy (Deluxe),album,2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
1OARrXe5sB0gyy3MhQ8h92,1Xyo4u8uXC1ZmMpatF05PJ,Live At SoFi Stadium,album,2023-03-03,31,https://open.spotify.com/album/1OARrXe5sB0gyy3MhQ8h92
12INlMsFtBjyehNnawBv36,1Xyo4u8uXC1ZmMpatF05PJ,Dawn FM (Alternate World),album,2022-01-07,24,https://open.spotify.com/album/12INlMsFtBjyehNnawBv36
2nLOHgzXzwFEpl62zAgCEC,1Xyo4u8uXC1ZmMpatF05PJ,Dawn FM,album,2022-01-06,16,https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC
5IBigZKJt8uffeMjKw5uEl,53XhwfbYqKCa1cC15pYq2q,Reflections (From The Vault Of Smoke + Mirrors),album,2025-02-21,14,https://open.spotify.com/album/5IBigZKJt8uffeMjKw5uEl
7EPrkhjTBrwAV8yAKCmY0Y,53XhwfbYqKCa1cC15pYq2q,LOOM,album,2024-06-28,10,https://open.spotify.com/album/7EPrkhjTBrwAV8yAKCmY0Y
0fQaGkCbRIg5z7ta2SCrY0,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons Live in Vegas,album,2023-07-28,23,https://open.spotify.com/album/0fQaGkCbRIg5z7ta2SCrY0
0LLA5YL3g2UReWlP7nWqGh,53XhwfbYqKCa1cC15pYq2q,Night Visions (Expanded Edition / Super Deluxe),album,2022-09-09,54,https://open.spotify.com/album/0LLA5YL3g2UReWlP7nWqGh
6yiXkzHvC0OTmhfDQOEWtS,53XhwfbYqKCa1cC15pYq2q,Mercury - Acts 1 & 2,album,2022-07-01,32,https://open.spotify.com/album/6yiXkzHvC0OTmhfDQOEWtS
